	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1630	Ichthyosporia	NA	Ichthyosporea	Dermocystida	NA	NA	NA
ASV1631	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1632	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	NA	NA	NA
ASV1633	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV1634	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
ASV1635	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
ASV1636	Alveolata	Ciliophora	Spirotrichea	Sporadotrichida	NA	NA	NA
ASV1637	Alveolata	Dinophyta	Dinophyceae	Prorocentrales	NA	NA	NA
ASV1638	Fungi	NA	NA	NA	NA	NA	NA
ASV1639	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV1640	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
ASV1641	Rhizaria	Cercozoa	NA	Thaumatomonadida	NA	NA	NA
ASV1642	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Tulostoma	NA
ASV1643	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV1644	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV1645	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
ASV1646	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	NA	NA	NA
ASV1647	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV1648	Fungi	NA	NA	NA	NA	NA	NA
ASV1649	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma terrea
ASV1650	Metazoa	Arthropoda	Insecta	Diptera	NA	NA	NA
ASV1651	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	NA	NA
ASV1652	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	NA	NA	NA
ASV1653	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	NA	NA
